session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2025-04-17,391,0,0,0.0,0.0,0.0,0.998248,20.0
2025-04-21,391,2,2,0.0384,-0.1785,-3.5846,0.998385,4.22
2025-04-22,391,8,6,0.0358,-0.3008,-3.0766,0.99878,7.24
2025-04-23,391,27,13,0.1381,-0.9508,-6.2752,0.998985,4.23
2025-04-24,391,6,4,0.0435,-0.2718,-3.8608,0.999122,2.64
2025-04-25,391,2,2,0.0077,-0.1193,-2.2109,0.999066,7.28
2025-04-28,391,0,0,0.0307,-0.1198,-3.1486,0.999017,10.07
2025-04-29,391,16,11,0.1202,-0.9462,-5.6553,0.998974,3.29
2025-04-30,390,4,3,0.0385,-0.3049,-3.6905,0.998906,2.83
2025-05-01,391,21,9,0.0946,-0.7344,-5.3836,0.998871,2.24
2025-05-02,391,2,2,0.0102,-0.1271,-1.9878,0.998843,7.11
2025-05-05,391,1,1,0.0026,-0.0565,-1.4135,0.998911,15.85
2025-05-06,390,3,3,0.0128,-0.1801,-2.5517,0.998908,4.58
2025-05-07,390,0,0,0.0026,-0.0006,-1.4045,0.998802,2.46
2025-05-08,391,7,7,0.0358,-0.3178,-3.8685,0.998786,2.05
2025-05-09,391,0,0,0.0128,-0.0325,-2.5511,0.998712,5.34
2025-05-12,391,6,4,0.0358,-0.3905,-3.2002,0.999027,3.44
2025-05-13,391,8,7,0.0665,-0.4708,-4.7562,0.999373,2.42
2025-05-14,391,2,2,0.0307,-0.261,-3.1552,0.999583,5.95
2025-05-15,391,0,0,0.0026,-0.011,-1.4105,0.999812,2.35
2025-05-16,390,0,0,0.0128,-0.0631,-2.2006,0.999503,6.17
2025-05-19,390,2,2,0.0231,-0.1932,-3.0558,0.999351,4.38
2025-05-20,391,7,6,0.0409,-0.3572,-3.3998,0.999201,2.23
2025-05-21,391,1,1,0.0051,-0.082,-1.5923,0.998936,2.76
2025-05-22,390,3,2,0.0231,-0.0918,-2.52,0.998908,2.1
2025-05-23,391,8,4,0.0435,-0.2749,-3.6928,0.998858,2.38
2025-05-27,390,2,2,0.0103,-0.1258,-1.9583,0.998884,2.79
2025-05-28,390,7,6,0.0359,-0.3577,-3.6715,0.998926,2.74
2025-05-29,391,1,1,0.0026,-0.0163,-1.3212,0.998887,7.08
2025-05-30,390,13,8,0.0641,-0.5486,-4.3423,0.99879,2.06
2025-06-02,390,4,3,0.0179,-0.1397,-2.736,0.998697,2.21
2025-06-03,391,4,3,0.0205,-0.1723,-3.1813,0.998771,3.84
2025-06-04,390,2,2,0.0077,-0.1517,-1.9384,0.998624,7.51
2025-06-05,391,3,2,0.0281,-0.1526,-3.3239,0.998326,2.96
2025-06-06,391,11,6,0.0486,-0.3446,-4.1263,0.998077,4.62
2025-06-09,390,0,0,0.0026,-0.0082,-1.4176,0.997938,2.09
2025-06-10,390,0,0,0.0,0.0,0.0,0.997725,20.0
2025-06-11,390,2,2,0.0128,-0.1998,-2.2845,0.997465,2.14
2025-06-12,391,3,3,0.0384,-0.1884,-3.5211,0.997345,5.12
2025-06-13,391,4,1,0.0179,-0.1293,-2.2023,0.996577,2.94
2025-06-16,391,3,2,0.0077,-0.0938,-1.6216,0.997083,2.89
2025-06-17,391,1,1,0.0307,-0.2027,-2.7295,0.997147,3.22
2025-06-18,391,0,0,0.0409,-0.1218,-3.134,0.996854,2.1
2025-06-20,391,4,3,0.0256,-0.1948,-3.6847,0.997093,2.6
2025-06-23,391,9,7,0.1074,-0.7177,-5.3323,0.997213,2.83
2025-06-24,391,2,1,0.0051,-0.0417,-1.5712,0.996716,11.83
2025-06-25,391,2,2,0.0281,-0.1763,-3.2558,0.997665,2.52
2025-06-26,390,0,0,0.041,-0.1287,-4.0827,0.998732,3.24
2025-06-27,391,0,0,0.0026,-0.0016,-1.4179,0.999883,3.41
2025-06-30,391,0,0,0.0,0.0,0.0,1.001907,20.0
2025-07-01,390,0,0,0.0051,-0.0363,-1.8819,1.004279,5.27
2025-07-02,390,0,0,0.0,0.0,0.0,1.003976,20.0
2025-07-03,219,6,5,0.0822,-0.4098,-4.8882,1.003969,2.5
2025-07-07,391,0,0,0.0102,-0.0163,-2.5507,1.003766,3.09
