session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2024-08-07,385,14,8,0.0623,-0.7763,-4.8333,0.999937,2.46
2024-08-08,387,3,3,0.0181,-0.1794,-3.1276,1.000601,5.36
2024-08-09,386,20,14,0.0907,-1.3197,-5.1987,1.00061,2.43
2024-08-12,386,7,3,0.0855,-0.5921,-4.7318,1.000614,2.59
2024-08-13,382,7,5,0.0445,-0.6081,-4.2496,1.000286,3.28
2024-08-14,388,0,0,0.0361,-0.1295,-3.8933,0.999939,2.4
2024-08-15,389,7,4,0.0334,-0.4708,-3.1686,0.999809,2.03
2024-08-16,390,2,2,0.0154,-0.1794,-2.7042,0.999639,2.38
2024-08-19,385,12,7,0.1013,-0.6401,-5.0433,0.999898,2.02
2024-08-20,390,16,12,0.0615,-0.9953,-5.2011,0.999725,2.87
2024-08-21,388,5,3,0.0541,-0.3171,-3.7321,0.999334,2.55
2024-08-22,389,0,0,0.0051,-0.0419,-1.7539,0.999175,2.77
2024-08-23,385,15,11,0.0779,-0.8979,-4.5034,0.999253,2.24
2024-08-26,384,3,3,0.1302,-0.6991,-5.6075,0.998899,2.14
2024-08-27,386,0,0,0.0,0.0,0.0,0.99867,20.0
2024-08-28,382,4,3,0.0314,-0.3443,-3.2791,0.998436,9.15
2024-08-29,386,6,4,0.0803,-0.3896,-4.403,0.998271,2.29
2024-08-30,391,8,5,0.0639,-0.5793,-3.8342,0.998382,2.24
2024-09-03,388,3,2,0.0155,-0.1563,-2.649,0.998323,7.54
2024-09-04,386,0,0,0.0052,-0.0165,-1.4102,0.998036,3.02
2024-09-05,383,5,4,0.0339,-0.3678,-3.5499,0.997428,2.97
2024-09-06,390,0,0,0.0462,-0.1596,-3.5643,0.996313,2.68
2024-09-09,377,1,1,0.0027,-0.1546,-1.4388,0.996188,5.2
2024-09-10,384,4,4,0.013,-0.405,-2.3578,0.996095,4.6
2024-09-11,385,5,2,0.0961,-0.5492,-4.9232,0.996095,2.08
2024-09-12,389,1,1,0.0026,-0.0614,-1.3748,0.996392,10.41
2024-09-13,387,3,1,0.0078,-0.0371,-1.8644,0.99772,11.38
2024-09-16,384,3,2,0.0312,-0.2337,-3.5595,0.998852,2.3
2024-09-17,389,3,2,0.0746,-0.497,-5.087,0.998979,2.86
2024-09-18,389,4,4,0.0154,-0.1735,-2.124,0.998652,4.09
2024-09-19,386,7,4,0.0415,-0.4051,-3.2463,0.998519,3.33
2024-09-20,391,13,6,0.0921,-0.5523,-4.923,0.998609,3.51
2024-09-23,389,0,0,0.0026,-0.0272,-1.4165,0.999013,10.01
2024-09-24,390,6,6,0.0462,-0.4707,-4.2944,0.998462,3.4
2024-09-25,389,5,5,0.0411,-0.3796,-3.7436,0.998335,2.72
2024-09-26,386,14,12,0.0699,-1.1449,-5.216,0.998183,2.8
2024-09-27,391,29,20,0.1202,-1.7551,-6.7261,0.998214,2.58
2024-09-30,389,19,13,0.0823,-1.5269,-4.6254,0.998477,2.47
2024-10-01,390,4,4,0.0795,-0.526,-4.9252,0.998676,3.15
